Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Quez Watkins,WR,24,17,1,84.5,,WatkQu00
Nyheim Hines,RB,26,16,2,81.4,,HineNy00
Joshua Kelley,RB,25,13,0,64.8,,KellJo01
Elijah Moore,WR,22,16,1,88.1,,MoorEl00
Cade Otton,TE,23,16,0,93.1,,OttoCa00
Jamycal Hasty,RB,26,17,0,70.0,,HastJa02
Tyler Huntley*,QB,24,6,3,50.0,,HuntTy01
Jelani Woods,TE,24,15,1,74.2,,WoodJe01
Randall Cobb,WR,32,13,1,81.7,,CobbRa00
Joe Flacco,QB,37,5,5,48.3,,FlacJo00
Trenton Irwin,WR,27,9,0,63.2,,IrwiTr00
Jauan Jennings,WR,25,16,1,82.6,,JennJa00
Rashaad Penny,RB,26,5,1,52.2,,PennRa00
Kyle Pitts,TE,22,10,0,75.6,,PittKy00
Jamal Agnew*,WR,27,15,0,70.3,,AgneJa00
Rondale Moore,WR,22,8,0,87.9,,MoorRo02
Julio Jones,WR,33,10,0,70.4,,JoneJu02
Zonovan Knight,RB,21,7,2,59.0,,KnigZo00
Dante Pettis,WR,27,17,1,65.2,,PettDa00
Laviska Shenault Jr.,WR,24,13,0,72.7,,ShenLa00
Brock Wright,TE,24,17,0,63.6,,WrigBr01
Tutu Atwell,WR,23,13,0,63.2,,AtweTu00
Daniel Bellinger,TE,22,12,1,75.0,,BellDa00
Ben Skowronek,WR,25,14,0,84.3,,SkowBe00
Nelson Agholor,WR,29,16,2,75.2,,AghoNe00
Ray-Ray McCloud,WR,26,17,2,58.1,,McClRa00
Colby Parkinson,TE,23,17,0,69.2,,ParkCo02
Equanimeous St. Brown,WR,26,16,1,64.7,,St.BEq00
Tyquan Thornton,WR,22,13,0,66.3,,ThorTy00
Justin Watson,WR,27,17,0,58.5,,WatsJu01
Jameis Winston,QB,28,3,3,43.9,,WinsJa00
Caleb Huntley,RB,24,12,1,44.9,,HuntCa02
Hunter Renfrow,WR,27,10,3,79.0,,RenfHu00
Jarrett Stidham,QB,26,5,3,42.6,,StidJa00
Noah Gray,TE,23,17,0,70.0,,GrayNo00
Elijah Mitchell,RB,24,5,0,43.6,,MitcEl00
Boston Scott,RB,27,15,0,46.2,,ScotBo02
Kadarius Toney,WR,23,9,1,57.3,,ToneKa00
Braxton Berrios,WR,27,17,1,57.7,,BerrBr00
Matt Breida,RB,27,17,0,59.8,,BreiMa00
Rex Burkhead,RB,32,16,0,77.4,,BurkRe00
Shi Smith,WR,24,17,4,61.6,,SmitSh03
Rashod Bateman,WR,23,6,1,53.5,,BateRa00
Damiere Byrd,WR,29,14,0,51.8,,ByrdDa00
Justin Jackson,RB,26,16,0,51.1,,JackJu01
MyCole Pruitt,TE,30,13,0,55.0,,PruiMy00
Desmond Ridder,QB,23,4,3,38.7,,RiddDe00
P.J. Walker,QB,27,6,0,39.1,,WalkPh00
Bailey Zappe,QB,23,4,4,39.6,,ZappBa00
Teddy Bridgewater,QB,30,5,0,38.0,,BridTe00
A.J. Green,WR,34,15,0,61.6,,GreeA.00
Logan Thomas,TE,31,14,0,77.3,,ThomLo00
Gardner Minshew II,QB,26,5,4,36.8,,MinsGa00
Sam Ehlinger,QB,24,4,2,35.6,,EhliSa00
Mo Alie-Cox,TE,29,17,1,53.9,,AlieMo00
Kyle Juszczyk*,FB,31,16,0,53.6,,JuszKy00
Jarvis Landry,WR,30,9,1,60.2,,LandJa00
Michael Thomas,WR,29,3,0,51.1,,ThomMi05
C.J. Uzomah,TE,29,15,0,56.2,,UzomC.00
Mark Ingram,RB,33,10,2,50.1,,IngrMa01
Tre'Quan Smith,WR,26,15,0,52.8,,SmitTr03
Raheem Blackshear,RB,23,13,1,43.0,,BlacRa00
Trey McBride,TE,23,16,1,61.5,,McBrTr01
Colt McCoy,QB,36,4,2,32.8,,McCoCo00
Tommy Tremble,TE,22,17,1,52.4,,TremTo00
Robbie Chosen,WR,29,16,1,52.2,,AndeRo04
Phillip Dorsett,WR,29,15,0,51.7,,DorsPh00
Kendall Hinton,WR,25,12,0,56.4,,HintKe00
Jordan Mason,RB,23,16,0,31.8,,MasoJo00
Harrison Bryant,TE,24,17,0,61.7,,BryaHa00
Ty Johnson,RB,25,17,0,42.8,,JohnTy02
Sammy Watkins,WR,29,12,1,46.5,,WatkSa00
