,,,Game,Fumb,Fant,Fant,-additional
Charlie Woerner,TE,24,17,0,10.2,,WoerCh00
JJ Arcega-Whiteside,WR,25,16,0,5.6,,ArceJJ00
Kalen Ballage,RB,26,17,0,6.4,,BallKa00
Kendall Blanton,TE,26,11,1,7.7,,BlanKe01
Pharoh Cooper,WR,26,8,0,7.6,,CoopPh00
Tyler Davis,TE,24,14,0,7.5,,DaviTy02
Greg Dortch,WR,23,5,0,6.9,,DortGr01
Darren Fells,TE,35,9,0,8.3,,FellDa01
Garrett Griffin,TE,27,13,1,7.9,,GrifGa00
Parker Hesse,TE,26,8,0,9.3,,HessPa00
Jakob Johnson,FB,27,17,0,8.3,,JohnJa12
D.J. Montgomery,WR,25,3,0,6.6,,MontDJ01
Gunner Olszewski,WR,25,16,3,6.0,,OlszGu00
Curtis Samuel,WR,25,5,0,9.8,,SamuCu00
Willie Snead,WR,29,9,0,7.8,,SneaWi00
Trent Taylor,WR,27,4,0,6.1,,TaylTr02
Trevon Wesco,TE,26,12,0,6.5,,WescTr00
Kevin White,WR,29,6,0,4.8,,WhitKe00
Juwann Winfree,WR,25,7,2,11.8,,WinfJu00
Kenny Yeboah,TE,23,9,0,5.6,,YeboKe00
Christian Blake,WR,25,16,0,6.5,,BlakCh00
Daniel Brown,WR,29,12,0,4.9,,BrowDa04
Dominique Dafney,TE,24,10,0,5.4,,DafnDo00
Reggie Gilliam,FB,24,16,0,5.6,,GillRe00
Chad Henne,QB,36,4,2,3.3,,HennCh01
Kylin Hill,RB,23,8,0,3.9,,HillKy00
Cody Hollister,WR,28,3,0,7.3,,HollCo00
Tommy Hudson,TE,24,5,0,6.1,,HudsTo00
Trenton Irwin,WR,26,7,0,5.4,,IrwiTr00
Jake Kumerow,WR,29,15,0,4.8,,KumeJa00
Gabe Nabers,FB,24,10,0,5.5,,NabeGa00
Colby Parkinson,TE,22,14,0,8.3,,ParkCo02
La'Mical Perine,RB,23,4,0,3.1,,PeriLa00
Kaden Smith,TE,24,9,0,6.3,,SmitKa00
Jeremy Sprinkle,TE,27,17,0,6.1,,SpriJe00
Mike Strachan,WR,24,6,0,4.6,,StraMi03
Dwayne Washington,RB,27,14,0,4.8,,WashDw00
Cody White,WR,23,15,0,8.3,,WhitCo05
Seth Williams,WR,21,2,0,4.4,,WillSe00
Shane Zylstra,TE,25,4,0,6.4,,ZylsSh00
Nick Bawden,FB,25,9,0,3.0,,BawdNi00
C.J. Beathard,QB,28,2,0,1.5,,BeatC.00
Reggie Bonnafon,RB,25,4,0,3.6,,BonnRe00
Ian Book,QB,23,1,0,2.0,,BookIa00
Cethan Carter,TE,26,16,0,3.6,,CartCe00
Davion Davis,WR,25,2,0,2.7,,DaviDa03
Darrynton Evans,RB,23,1,0,3.8,,EvanDa02
Blaine Gabbert,QB,32,6,0,2.0,,GabbBl00
Tyron Johnson,WR,25,10,0,3.6,,JohnTy03
Marcus Kemp,WR,26,16,0,4.4,,KempMa00
Keith Kirkwood,WR,27,3,0,4.7,,KirkKe00
Patrick Laird,RB,26,6,0,5.1,,LairPa00
Raheem Mostert,RB,29,1,0,2.0,,MostRa00
Dazz Newsome,WR,22,3,0,4.3,,NewsDa00
Scottie Phillips,RB,24,3,0,4.2,,PhilSc01
Adam Prentice,FB,24,7,0,5.1,,PrenAd00
Trey Ragas,RB,25,1,0,3.5,,RagaTr00
Jaylen Samuels,RB,25,3,0,5.3,,SamuJa00
David Sills,WR,25,4,0,3.7,,SillDa01
Jack Stoll,TE,23,16,0,6.2,,StolJa00
Chris Streveler,QB,26,2,1,2.0,,StreCh00
Tylan Wallace,WR,22,17,0,4.3,,WallTy00
Derek Watt,FB,29,17,0,4.6,,WattDe00
Mitchell Wilcox,TE,25,15,0,4.6,,WilcMi01
Cam Akers,RB,22,1,0,4.3,,AkerCa00
Tarik Black,WR,23,1,0,2.0,,BlacTa00
David Blough,QB,26,1,1,0.6,,BlouDa00
Miles Boykin,WR,25,8,0,1.6,,BoykMi00
Gary Brightwell,RB,22,13,0,2.0,,BrigGa00
Derek Carrier,TE,31,5,0,3.3,,CarrDe00
Keke Coutee,WR,24,2,0,1.5,,CoutKe00
Damarea Crockett,RB,24,12,0,0.7,,CrocDa01
Frank Darby,WR,24,10,0,2.4,,DarbFr00
Sam Ehlinger,QB,23,3,0,0.9,,EhliSa00
Ryan Fitzpatrick,QB,39,1,1,0.7,,FitzRy00
Jake Funk,RB,23,10,0,0.5,,FunkJa00
Marvin Hall,WR,28,2,0,2.0,,HallMa02
Demetrius Harris,TE,30,14,0,4.0,,HarrDe03
Brycen Hopkins,TE,24,5,0,1.9,,HopkBr01
Buddy Howell,RB,25,10,0,1.1,,HoweGr00
Andy Isabella,WR,25,8,0,2.3,,IsabAn00
John Kelly,RB,25,4,0,1.3,,KellJo00
Tommylee Lewis,WR,29,2,0,1.7,,LewiTo00
Hunter Long,TE,23,7,0,1.8,,LongHu00
Anthony McFarland Jr.,RB,23,2,0,2.4,,McFaAn00
Kirk Merritt,WR,24,2,0,2.3,,MerrKi00
Jaydon Mickens,WR,27,11,1,3.0,,MickJa01
Stanley Morgan Jr.,WR,25,17,0,3.4,,MorgSt02
Johnny Mundt,TE,27,6,0,1.9,,MundJo00
Ryan Nall,RB,26,9,0,1.8,,NallRy00
Jacques Patrick,RB,24,2,0,1.2,,PatrJa01
Kevin Rader,TE,26,6,0,2.8,,RadeKe00
Richard Rodgers,TE,29,3,0,3.1,,RodgRi00
Mekhi Sargent,RB,24,7,0,1.1,,SargMe00
C.J. Saunders,WR,25,2,0,3.1,,SaunCJ00
Luke Stocker,TE,33,12,0,3.2,,StocLu00
Eric Tomlinson,TE,29,17,0,1.7,,TomlEr01
Tyrell Williams,WR,29,1,0,3.4,,WillTy00
Easop Winston,WR,25,3,0,1.5,,WinsEa00
Ethan Wolf,TE,26,2,0,2.8,,WolfEt00
Josh Adams,RB,25,1,0,,,AdamJo03
Rodney Adams,WR,27,1,0,,,AdamRo01
Landen Akers,WR,24,2,0,,,AkerLa00
Geronimo Allison,WR,27,3,0,,,AlliGe01
Devin Asiasi,TE,24,1,0,,,AsiaDe00
Marcell Ateman,WR,27,1,0,,,AtemMa00
Tutu Atwell,WR,22,8,1,,,AtweTu00
Alex Bachman,WR,25,3,0,-0.3,,BachAl00
Kawaan Baker,WR,23,2,0,,,BakeKa00
Michael Bandy,WR,24,1,0,,,BandMi00
Jake Bargas,FB,25,1,0,,,BargJa00
Kenjon Barner,RB,32,3,0,,,BarnKe00
Andrew Beck,TE,25,12,0,,,BeckAn01
Nick Bellore,FB,32,17,0,1.4,,BellNi01
Kurt Benkert,QB,26,1,0,-0.1,,BenkKu01
Nick Bowers,TE,25,5,0,,,BoweNi00
Nick Boyle,TE,28,5,0,1.2,,BoylNi00
Darius Bradwell,FB,24,2,0,,,BradDa00
John Brown,WR,31,4,0,,,BrowJo02
John Brown,WR,31,0,,,,BrowJo02
Spencer Brown,RB,23,4,0,,,BrowSp01
Ian Bunting,TE,25,1,0,,,BuntIa00
Deante Burton,WR,27,1,0,,,BurtDe00
Matt Bushman,TE,26,2,0,,,BushMa00
Lawrence Cager,TE,24,1,0,,,CageLa01
Jalen Camp,WR,23,3,0,,,CampJa03
Tory Carter,FB,22,8,0,,,CartTo01
Dan Chisena,WR,24,11,0,,,ChisDa00
Tyrie Cleveland,WR,24,7,0,,,ClevTy00
Matt Cole,WR,25,1,0,,,ColeMa03
Jeff Cotton,WR,24,1,0,,,CottJe00
Nathan Cottrell,RB,25,4,0,0.3,,CottNa00
Isaiah Coulter,WR,23,3,0,,,CoulIs00
River Cracraft,WR,27,6,0,,,CracRi00
Chase Daniel,QB,35,1,0,-0.2,,DaniCh00
Darrell Daniels,TE,27,15,0,1.0,,DaniDa02
Brandon Dillon,TE,24,1,0,,,DillBr00
Jeff Driskel,QB,28,1,0,,,DrisJe00
Trey Edmunds,RB,27,2,0,,,EdmuTr00
Ben Ellefson,TE,25,5,0,,,ElleBe00
Tavien Feaster,RB,24,3,0,,,FeasTa01
Simi Fehoko,WR,24,5,0,,,FehoSi00
Maurice Ffrench,WR,23,3,0,0.3,,FfreMa00
Miller Forristall,TE,23,2,0,,,ForrMi00
Joe Fortunato,WR,27,1,0,,,FortJo02
Daurice Fountain,WR,26,2,0,,,FounDa00
Jordan Franks,TE,25,1,0,,,FranJo03
Travis Fulgham,WR,26,1,0,,,FulgTr00
Aaron Fuller,WR,24,1,0,,,FullAa01
Antonio Gandy-Golden,WR,23,4,0,,,GandAn00
Cullen Gillaspia,FB,26,15,0,,,GillCu00
Nakia Griffin-Stewart,TE,25,2,0,,,GrifNa00
Josh Hammond,WR,23,2,0,,,HammJo00
DeMichael Harris,WR,23,2,0,,,HarrDe09
Jacob Harris,TE,24,9,0,,,HarrJa03
Daniel Helm,TE,26,9,0,0.9,,HelmDa01
Temarrick Hemingway,TE,28,2,0,,,HemiTe00
John Hightower,WR,25,1,1,,,HighJo00
Brian Hill,RB,26,3,0,,,HillBr02
Isaiah Hodgins,WR,23,1,0,,,HodgIs00
Kevin Hogan,QB,29,1,0,,,HogaKe00
J.P. Holtz,TE,28,13,0,,,HoltJ.01
Tanner Hudson,TE,27,2,0,,,HudsTa00
Ryan Izzo,TE,26,1,0,,,IzzoRy00
Josh Johnson,RB,24,3,0,,,JohnJo06
Kerryon Johnson,RB,24,1,0,,,JohnKe06
Taiwan Jones,RB,33,17,0,,,JoneTa00
Hunter Kampmoyer,TE,23,1,0,,,KampHu00
Mason Kinsey,WR,23,1,0,,,KinsMa00
Matt LaCosse,TE,29,1,0,,,LaCoMa00
Tyler Mabry,TE,25,6,0,,,MabrTy00
Jordan Matthews,WR,29,1,0,,,MattJo00
Nate McCrary,RB,22,1,0,-0.1,,McCrNa00
Codey McElroy,TE,29,2,0,,,McElCo00
Myron Mitchell,WR,23,1,0,,,MitcMy00
Kellen Mond,QB,22,1,0,0.2,,MondKe00
David Moore,WR,26,3,0,,,MoorDa03
Jojo Natson,WR,27,3,0,,,NatsJo00
Devine Ozigbo,RB,25,3,0,1.4,,OzigDe01
Aaron Parker,WR,23,1,0,,,ParkAa01
Nathan Peterman,QB,27,1,0,0.2,,PeteNa00
Artavis Pierce,RB,25,1,0,,,PierAr00
Jared Pinkney,TE,24,2,0,,,PinkJa02
Tony Poljan,TE,24,1,0,,,PoljTo00
Paul Quessenberry,TE,29,1,0,,,QuesPa00
Nick Ralston,FB,25,4,0,,,RalsNi00
Sammis Reyes,TE,26,11,0,,,ReyeSa00
Giovanni Ricci,FB,25,16,0,,,RiccGi00
Brett Rypien,QB,25,1,0,,,RypiBr00
Jordan Scarlett,RB,25,1,0,,,ScarJo00
Mason Schreck,TE,28,1,0,,,SchrMa00
Steven Sims,WR,24,1,0,,,SimsSt00
Matthew Slater*,WR,36,17,0,,,SlatMa00
Devin Smith,WR,29,4,0,,,SmitDe04
Sutton Smith,FB,25,8,0,,,SmitSu00
Vyncint Smith,WR,25,2,0,,,SmitVy00
Marquez Stevenson,WR,23,5,2,,,StevMa00
Dillon Stoner,WR,23,6,0,,,StonDi00
Stephen Sullivan,TE,25,3,0,,,SullSt00
Colin Thompson,TE,28,11,0,,,ThomCo03
Cody Thompson,WR,25,5,0,,,ThomCo04
Noah Togiai,TE,24,1,0,,,TogiNo00
Austin Trammell,WR,23,2,0,,,TramAu00
Jordan Veasy,WR,26,2,0,,,VeasJo00
Kahale Warring,TE,24,2,0,,,WarrKa00
Justin Watson,WR,26,1,0,,,WatsJu01
Davis Webb,QB,26,1,0,-0.3,,WebbDa00
Nsimba Webster,WR,25,6,1,,,WebsNs00
David Wells,TE,26,3,0,,,WellDa00
Jordan Wilkins,RB,27,5,0,,,WilkJo01
Avery Williams,RB,23,15,1,,,WillAv02
Pooka Williams,WR,22,1,0,,,WillPo01
Brandon Wilson,RB,27,9,0,,,WilsBr01
Deon Yelder,TE,26,5,0,1.0,,YeldDe00
Khari Blasingame,FB,25,11,1,1.0,,BlasKh00
Jacob Eason,QB,24,1,0,-1.0,,EasoJa00
Feleipe Franks,TE,24,9,0,-1.4,,FranFe00
Racey McMath,WR,22,9,1,0.8,,McMaRa00
Malik Taylor,WR,26,10,1,1.4,,TaylMa01
Logan Woodside,QB,26,5,0,-0.6,,WoodLo00
Travis Benjamin,WR,32,10,1,-2.0,,BenjTr00
Trenton Cannon,RB,27,12,1,-1.6,,CannTr00
J.J. Koski,WR,25,5,1,-2.0,,KoskJJ00
John Wolford,QB,26,3,0,-1.9,,WolfJo00
Josh Rosen,QB,24,4,0,-3.2,,RoseJo01
Diontae Spencer,WR,29,15,2,-3.3,,SpenDi00
