,,,Game,Fumb,Fant,Fant,-additional
Shaun Wilson,RB,23,5,0,6.4,,WilsSh01
Javon Wims,WR,24,4,0,7.2,,WimsJa00
Nick Bellore,FB,29,14,0,5.5,,BellNi01
Travaris Cadet,RB,29,1,0,3.2,,CadeTr00
Matt Cassel,QB,36,2,0,1.7,,CassMa00
Orson Charles,TE,27,13,0,5.3,,CharOr00
Derrick Coleman,RB,28,16,0,4.0,,ColeDe00
River Cracraft,WR,24,8,1,3.4,,CracRi00
Sean Culkin,TE,25,13,0,3.4,,CulkSe00
Justin Davis,RB,23,11,0,1.9,,DaviJu00
Gehrig Dieter,WR,25,4,0,3.2,,DietGe00
David Fluellen,RB,26,7,0,1.6,,FlueDa00
Garrett Gilbert,QB,27,1,0,1.6,,GilbGa01
KhaDarel Hodge,WR,23,14,0,3.7,,HodgKh00
Justin Hunter,WR,27,5,0,5.1,,HuntJu00
Darius Jackson,RB,25,4,0,1.6,,JackDa01
Rishard Matthews,WR,29,8,0,7.4,,MattRi00
Ray-Ray McCloud,WR,22,10,2,7.0,,McClRa00
C.J. Prosise,RB,24,5,0,4.9,,ProsC.00
Brian Quick,WR,29,6,0,4.8,,QuicBr00
Keith Smith,FB,26,16,0,7.3,,SmitKe03
Jonathan Stewart,RB,31,3,0,1.7,,StewJo00
Tyrone Swoopes,TE,24,1,0,3.3,,SwooTy00
De'Lance Turner,RB,23,4,0,4.1,,TurnDe01
Malik Turner,WR,22,6,0,4.0,,TurnMa00
Brandon Wilds,RB,25,3,0,1.5,,WildBr01
Nick Williams,WR,28,4,0,3.7,,WillNi02
Terrance Williams,WR,29,3,0,3.8,,WillTe01
Brandon Zylstra,WR,25,16,0,3.3,,ZylsBr00
Ameer Abdullah,RB,25,10,1,3.9,,AbduAm00
Victor Bolden,WR,23,6,0,2.0,,BoldVi00
Michael Burton,RB,26,8,0,1.6,,BurtMi00
Damiere Byrd,WR,25,8,0,1.8,,ByrdDa00
Jamaal Charles,RB,32,2,0,3.4,,CharJa00
Sammie Coates,WR,25,12,0,2.2,,CoatSa00
Alan Cross,TE,25,14,0,2.9,,CrosAl00
Joshua Dobbs,QB,23,5,0,0.8,,DobbJo00
Ross Dwelley,TE,23,11,0,3.4,,DwelRo00
Matt Flanagan,TE,23,3,0,2.4,,FlanMa00
Robert Griffin III,QB,28,3,0,0.8,,GrifRo01
Justin Hardee,WR,24,16,0,2.0,,HardJu01
Keon Hatcher,WR,24,3,0,1.8,,HatcKe00
Chad Henne,QB,33,1,0,1.5,,HennCh01
Robert Kelley,RB,26,2,0,0.8,,KellRo00
Marcus Kemp,WR,23,16,0,1.7,,KempMa00
Jeremy Kerley,WR,30,1,0,2.7,,KerlJe00
Darvin Kidsy,WR,23,2,0,1.8,,KidsDa00
Allen Lazard,WR,23,1,0,1.7,,LazaAl00
Khari Lee,TE,26,2,0,1.5,,LeexKh00
Josh Malone,WR,22,9,0,2.2,,MaloJo00
J.D. McKissic,WR,25,5,0,0.8,,McKiJ.00
Christine Michael,RB,28,1,0,0.9,,MichCh00
Johnny Mundt,TE,24,10,0,1.5,,MundJo00
Jamize Olawale,FB,29,16,0,3.3,,OlawJa00
Ricky Ortiz,FB,24,12,0,4.1,,OrtiRi00
Cam Phillips,WR,23,2,0,1.9,,PhilCa01
Richard Rodgers,TE,26,7,0,1.7,,RodgRi00
Dion Sims,TE,27,8,0,2.9,,SimsDi00
Hakeem Valles,TE,26,3,0,3.1,,VallHa00
Justin Watson,WR,23,12,0,1.5,,WatsJu01
Derek Watt,FB,26,16,0,2.3,,WattDe00
Joe Webb,QB,32,16,0,3.3,,WebbJo00
Tim White,WR,24,3,1,2.4,,WhitTi00
Saeed Blacknall,WR,22,1,,,,BlacSa00
Daniel Brown,WR,26,14,,,,BrowDa04
Deante Burton,WR,24,3,,,,BurtDe00
Tra Carson,RB,26,6,,,,CarsTr01
Jehu Chesson,WR,25,12,0,1.3,,ChesJe00
Lavon Coleman,RB,24,1,,,,ColeLa02
Stacy Coley,WR,24,3,1,,,ColeSt00
Pharoh Cooper,WR,23,7,1,,,CoopPh00
Jerome Cunningham,TE,27,3,0,,,CunnJe00
Darrell Daniels,TE,24,11,,,,DaniDa02
Geremy Davis,WR,26,14,,,,DaviGe00
Trevor Davis,WR,25,2,0,,,DaviTr03
Dalyn Dawkins,RB,24,2,,,,DawkDa01
Matthew Dayes,RB,24,7,0,,,DayeMa00
Garrett Dickerson,TE,23,4,,,,DickGa00
Steven Dunbar,WR,23,1,,,,DunbSt00
Malachi Dupre,WR,23,1,,,,DuprMa01
Trey Edmunds,RB,24,4,,,,EdmuTr00
Alex Ellis,TE,25,2,,,,ElliAl01
Donnie Ernsberger,RB,22,2,,,,ErnsDo00
Isaiah Ford,WR,22,1,,,,FordIs00
Daurice Fountain,WR,23,1,,,,FounDa00
Mose Frazier,WR,25,1,,,,FrazMo00
Janarion Grant,WR,25,2,2,,,GranJa01
Garrett Griffin,TE,24,0,0,,,GrifGa00
Temarrick Hemingway,TE,25,5,,,,HemiTe00
De'Angelo Henderson,RB,26,3,1,-0.1,,HendDe01
Quadree Henderson,WR,22,5,0,,,HendQu00
Hunter Henry,TE,24,0,0,,,HenrHu00
Darrius Heyward-Bey,WR,31,14,0,1.2,,HeywDa00
Gabe Holmes,TE,27,8,,,,HolmGa00
Johnny Holton,WR,28,1,,,,HoltJo00
Buddy Howell,RB,22,15,0,,,HoweGr00
Taiwan Jones,RB,30,6,0,,,JoneTa00
Chad Kelly,QB,24,1,0,-0.1,,KellCh00
Ben Koyack,TE,25,7,,,,KoyaBe00
Chris Lacy,WR,22,1,,,,LacyCh00
Lance Lenoir,WR,23,7,,,,LenoLa00
Tony Lippett,WR,26,3,,,,LippTo00
Sean Mannion,QB,26,3,0,,,MannSe00
Bradley Marquez,WR,26,1,,,,MarqBr00
Freddie Martino,WR,27,4,,,,MartFr00
A.J. McCarron,QB,28,2,1,0.1,,McCaA.00
Max McCaffrey,WR,24,1,,,,McCaMa01
Tanner McEvoy,TE,25,2,,,,McEvTa01
Jeremy McNichols,RB,23,1,0,0.4,,McNiJe00
Jaydon Mickens,WR,24,6,1,,,MickJa01
Steven Mitchell,WR,24,1,,,,MitcSt02
Dare Ogunbowale,RB,24,2,0,,,OgunDa00
Senorise Perry,RB,27,16,0,,,PerrSe00
Thomas Rawls,RB,25,1,,,,RawlTh00
Keenan Reynolds,RB,25,2,,,,ReynKe00
Patrick Ricard,FB,24,10,,,,RicaPa00
Cooper Rush,QB,25,1,,,,RushCo00
Alonzo Russell,WR,26,1,,,,RussAl01
Mark Sanchez,QB,32,2,1,0.3,,SancMa00
Matt Schaub,QB,37,3,1,1.1,,SchaMa00
Mason Schreck,TE,25,6,,,,SchrMa00
Boston Scott,RB,23,2,0,,,ScotBo02
Da'Mari Scott,WR,23,3,,,,ScotDa02
Cam Sims,WR,22,1,,,,SimsCa00
Jeremiah Sirles,TE,27,12,,,,SirlJe00
Matthew Slater,WR,33,16,0,,,SlatMa00
Shane Smith,FB,25,2,,,,SmitSh02
Brandon Tate,WR,31,1,1,,,TateBr00
Mike Thomas,WR,24,1,,,,ThomMi04
Danny Vitale,RB,25,5,0,1.2,,VitaDa00
Clive Walford,TE,27,1,0,,,WalfCl00
Mike Wallace,WR,32,2,,,,WallMi00
Brandon Weeden,QB,35,1,0,-0.1,,WeedBr00
Markus Wheaton,WR,27,1,,,,WheaMa00
Cole Wick,TE,25,5,,,,WickCo00
Jonathan Williams,RB,24,3,0,1.1,,WillJo07
Brandon Wilson,RB,24,16,0,,,WilsBr01
Deon Yelder,TE,23,3,,,,YeldDe00
Jacoby Brissett,QB,26,4,0,-0.6,,BrisJa00
Brian Hoyer,QB,33,5,0,-0.5,,HoyeBr00
J'Mon Moore,WR,23,12,1,1.5,,MoorJM00
Geno Smith,QB,28,5,1,-1.5,,SmitGe00
Rod Streater,WR,30,3,0,-1.1,,StreRo00
Robert Turbin,RB,29,2,1,0.3,,TurbRo00
Kaelin Clay,WR,26,2,1,-2.0,,ClayKa00
JJ Jones,WR,26,4,2,-0.7,,JoneJJ00
Kyle Lauletta,QB,23,2,0,-2.2,,LaulKy00
Riley McCarron,WR,25,1,1,-2.0,,McCaRi00
Jojo Natson,WR,24,13,2,-2.0,,NatsJo00
