,,,Game,Fumb,Fant,Fant,-additional
Antonio Andrews,RB,24,16,0,1.5,,AndrAn00
Brenton Bersin,WR,26,10,0,3.7,,BersBr00
Brandon Bolden,RB,26,14,0,3.9,,BoldBr00
Damiere Byrd,WR,23,1,0,2.6,,ByrdDa00
James Develin,TE,28,16,0,4.8,,DeveJa00
Jalston Fowler,RB,26,16,0,2.7,,FowlJa00
Clay Harbor,TE,29,15,0,4.9,,HarbCl00
Percy Harvin,WR,28,2,0,3.7,,HarvPe00
Cardale Jones,QB,24,1,0,1.7,,JoneCa01
Zach Line,RB,26,15,0,1.5,,LineZa01
Marc Mariani,WR,29,16,1,1.5,,MariMa00
Matt McGloin,QB,27,3,0,1.7,,McGlMa01
J.D. McKissic,WR,23,1,0,3.8,,McKiJ.00
Logan Paulsen,TE,29,16,0,4.5,,PaulLo00
Cedric Peerman,RB,30,6,0,1.5,,PeerCe00
Jay Prosch,RB,24,15,0,2.5,,ProsJa00
DeAndre Smelter,WR,25,2,0,3.3,,SmelDe00
Devin Smith,WR,24,4,0,3.0,,SmitDe04
Luke Stocker,TE,28,12,0,7.3,,StocLu00
Devin Street,WR,25,5,0,3.0,,StreDe00
Mike Thomas,WR,22,15,1,4.7,,ThomMi04
Laquon Treadwell,WR,21,9,0,2.5,,TreaLa00
Griff Whalen,WR,26,8,0,4.2,,WhalGr00
Cole Wick,TE,23,6,0,3.8,,WickCo00
Shane Wynn,WR,24,5,0,3.4,,WynnSh00
Jared Abbrederis,WR,26,5,0,1.8,,AbbrJa00
Joe Banyard,RB,28,1,0,0.7,,BanyJo00
Jeremy Butler,WR,25,4,0,3.1,,ButlJe01
Derek Carrier,TE,26,8,0,3.0,,CarrDe00
Gerald Christian,TE,25,3,0,2.4,,ChriGe00
Chase Daniel,QB,30,1,0,0.6,,DaniCh00
Alex Ellis,TE,23,6,0,4.1,,ElliAl01
David Fales,QB,26,1,1,0.9,,FaleDa00
George Farmer,WR,23,2,0,1.5,,FarmGe02
Rashad Greene,WR,24,8,4,6.2,,GreeRa00
Je'Ron Hamm,TE,24,5,0,3.3,,HammJe01
Ryan Hewitt,TE,25,16,0,3.3,,HewiRy00
Bronson Hill,RB,23,3,0,1.1,,HillBr01
Henry Krieger-Coble,TE,24,2,0,2.3,,KrieHe00
Paul Lasike,RB,26,10,0,2.1,,LasiPa00
Terrence Magee,RB,23,2,0,1.2,,MageTe00
Chris Manhertz,TE,24,7,0,2.0,,ManhCh00
Paul McRoberts,WR,24,2,0,1.6,,McRoPa00
Raheem Mostert,RB,24,3,0,0.6,,MostRa00
Matthew Mulligan,TE,31,8,0,1.8,,MullMa00
Roosevelt Nix,RB,24,10,0,2.5,,NixxRo01
MyCole Pruitt,TE,24,4,0,3.3,,PruiMy00
Daryl Richardson,RB,26,3,0,0.7,,RichDa00
Stevan Ridley,RB,27,1,0,0.7,,RidlSt00
Rashad Ross,WR,26,5,0,1.8,,RossRa00
Anthony Sherman,RB,28,16,0,5.1,,SherAn00
Lorenzo Taliaferro,RB,25,3,0,4.0,,TaliLo00
Stepfan Taylor,RB,25,15,0,1.2,,TaylSt00
Tony Washington,WR,24,2,0,1.9,,WashTo00
Mario Alford,WR,24,3,0,,,AlfoMa00
Joique Bell,RB,30,7,0,1.4,,BellJo01
Braedon Bowman,TE,22,3,,,,BowmBr00
Daniel Braverman,WR,23,3,,,,BravDa00
Brandon Burks,RB,23,1,0,-0.4,,BurkBr00
Isaiah Burse,WR,25,9,0,,,BursIs01
Michael Burton,TE,24,15,,,,BurtMi00
Orson Charles,TE,25,2,,,,CharOr00
Kellen Clemens,QB,33,12,0,-0.1,,ClemKe00
Asante Cleveland,TE,24,4,,,,ClevAs00
Chase Coffman,TE,30,2,,,,CoffCh00
Geremy Davis,WR,24,3,0,,,DaviGe00
Kellen Davis,TE,31,8,0,,,DaviKe01
Jim Dray,TE,30,6,,,,DrayJi00
Thomas Duarte,TE,21,1,,,,DuarTh00
Donteea Dye,WR,23,1,,,,DyexDo00
Isaac Fruechte,WR,25,1,,,,FrueIs00
Dillon Gordon,TE,23,1,,,,GordDi01
Aaron Green,RB,24,2,,,,GreeAa01
Glenn Gronkowski,RB,23,1,,,,GronGl01
Russell Hansbrough,RB,23,2,,,,HansRu00
Cory Harkey,RB,26,12,,,,HarkCo00
Temarrick Hemingway,TE,23,8,,,,HemiTe00
Chad Henne,QB,31,1,0,-0.2,,HennCh01
Austin Johnson,RB,27,1,,,,JohnAu00
Joe Kerridge,RB,24,8,0,,,KerrJo00
Jake Lampman,WR,23,6,,,,LampJa00
Khari Lee,TE,24,8,,,,LeexKh00
Dezmin Lewis,WR,24,1,,,,LewiDe02
Vince Mayle,WR,25,6,,,,MaylVi00
Tre McBride,WR,24,2,,,,McBrTr00
A.J. McCarron,QB,26,1,,,,McCaA.00
David Morgan,TE,23,12,0,1.4,,MorgDa01
Marcus Murphy,RB,25,3,0,1.3,,MurpMa03
Troy Niklas,TE,24,3,0,1.0,,NiklTr00
James O'Shaughnessy,TE,24,16,0,1.9,,O'ShJa00
Ryan O'Malley,TE,23,1,,,,OMalRy00
Jordan Payton,WR,23,4,0,1.3,,PaytJo00
Riley Reiff,TE,28,14,,,,ReifRi00
Chase Reynolds,RB,29,16,0,1.4,,ReynCh00
Demarcus Robinson,WR,22,16,,,,RobiDe01
Khiry Robinson,RB,27,1,1,0.2,,RobiKh00
Mark Sanchez,QB,30,2,0,-0.5,,SancMa00
Matt Schaub,QB,35,4,0,0.4,,SchaMa00
Rashawn Scott,WR,24,2,,,,ScotRa01
Scott Simonson,TE,24,5,,,,SimoSc00
Rod Smith,RB,24,7,0,1.4,,SmitRo06
Tevaun Smith,WR,23,2,,,,SmitTe03
Randall Telfer,TE,24,14,0,2.4,,TelfRa00
Eric Tomlinson,TE,24,7,,,,TomlEr01
Will Tukuafu,FB,32,7,0,0.2,,TukuWi00
Hakeem Valles,TE,24,11,,,,VallHa00
Herb Waters,WR,24,0,0,,,WateHe00
Joe Webb,QB,30,14,0,1.3,,WebbJo00
Eric Weems,WR,31,16,0,,,WeemEr00
Kasen Williams,WR,24,1,,,,WillKa02
Maxx Williams,TE,22,4,,,,WillMa04
T.J. Yates,QB,29,0,0,,,YateT.00
Bralon Addison,WR,23,2,1,0.5,,AddiBr01
Sean Mannion,QB,24,1,1,-1.3,,MannSe00
Tyler Ervin,RB,23,12,3,1.1,,ErviTy00
Brett Hundley,QB,23,4,1,-1.5,,HundBr00
Ryan Mallett,QB,28,4,0,-1.6,,MallRy00
Keshawn Martin,WR,26,1,1,-2.0,,MartKe01
Kalif Raymond,WR,22,4,2,-2.0,,RaymKa00
Matthew Slater*+,WR,31,13,2,-1.5,,SlatMa00
